__run_id,__done,ocr_library,document_type,dataset,sample_size,language,energy,runtime,memory,run_id,cpu_usage_percent
run_13_repetition_6,DONE,paddle,slides,Omni_Dataset,20,eng,3865.1187133789062,160.87448,5458845696,run_13_repetition_6,54.77361889007887
run_10_repetition_18,DONE,paddle,notes,Omni_Dataset,1,eng,288.94334411621094,15.214053,4870303744,run_10_repetition_18,38.445794978585
run_21_repetition_7,DONE,tesseract,Book,Omni_Dataset,20,eng,315.1890869140625,14.2083025,2416902144,run_21_repetition_7,14.671329274161222
run_23_repetition_29,DONE,tesseract,Newspaper,Omni_Dataset,20,eng,3111.0897369384766,148.84254,3230130176,run_23_repetition_29,13.620764564373218
run_22_repetition_2,DONE,tesseract,Newspaper,Omni_Dataset,1,eng,89.70100402832031,4.203985,2380247040,run_22_repetition_2,15.3973816950684
run_4_repetition_6,DONE,paddle,Old_books_No_noise,Noisy_Dataset,1,eng,24.9764404296875,6.0122976,2285531136,run_4_repetition_6,1.414625313133001
run_19_repetition_9,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,20,eng,4.75177001953125,0.40293908,2243203072,run_19_repetition_9,13.325935654342176
run_22_repetition_12,DONE,tesseract,Newspaper,Omni_Dataset,1,eng,90.67434692382812,4.2042613,2363277312,run_22_repetition_12,15.296043548894966
run_5_repetition_19,DONE,paddle,Old_books_No_noise,Noisy_Dataset,20,eng,21.830963134765625,3.8092215,2289106944,run_5_repetition_19,3.369443263326372
run_27_repetition_18,DONE,tesseract,slides,Omni_Dataset,20,eng,218.15188598632812,10.00708,2379210752,run_27_repetition_18,11.898665914168724
run_20_repetition_19,DONE,tesseract,Book,Omni_Dataset,1,eng,22.755767822265625,1.2030839,2323173376,run_20_repetition_19,13.463298559188845
run_26_repetition_28,DONE,tesseract,slides,Omni_Dataset,1,eng,13.058120727539062,0.8034791,2318356480,run_26_repetition_28,12.4796631783247
run_10_repetition_20,DONE,paddle,notes,Omni_Dataset,1,eng,297.9092712402344,18.019402,4940632064,run_10_repetition_20,33.18153649779118
run_2_repetition_7,DONE,paddle,Old_books_Arabic,Noisy_Dataset,1,ara,540.2385559082031,24.817862,8470261760,run_2_repetition_7,46.668260651093625
run_23_repetition_25,DONE,tesseract,Newspaper,Omni_Dataset,20,eng,3115.0732421875,149.04482,3215613952,run_23_repetition_25,13.561201992004593
run_7_repetition_18,DONE,paddle,Book,Omni_Dataset,20,eng,3856.737564086914,159.87598,6122745856,run_7_repetition_18,55.77801198756948
run_15_repetition_28,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,415.4584503173828,18.009296,2436583424,run_15_repetition_28,14.255905316575712
run_16_repetition_11,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,1,ara,4.6756744384765625,0.4029069,2249314304,run_16_repetition_11,14.356869667768478
run_6_repetition_25,DONE,paddle,Book,Omni_Dataset,1,eng,371.85032653808594,19.417286,5274587136,run_6_repetition_25,38.75803064773179
run_4_repetition_20,DONE,paddle,Old_books_No_noise,Noisy_Dataset,1,eng,21.234451293945312,4.009322,2309742592,run_4_repetition_20,1.949310776862231
run_3_repetition_26,TODO,paddle,Old_books_Arabic,Noisy_Dataset,20,ara, , , ,run_3_repetition_26,51.34896684241312
run_15_repetition_23,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,415.6078643798828,18.008718,2431619072,run_15_repetition_23,14.28588692277022
run_24_repetition_8,DONE,tesseract,notes,Omni_Dataset,1,eng,13.130386352539062,0.80316615,2322227200,run_24_repetition_8,12.128433083494505
run_26_repetition_14,DONE,tesseract,slides,Omni_Dataset,1,eng,13.01885986328125,0.8030654,2322927616,run_26_repetition_14,12.600269814332329
run_25_repetition_15,DONE,tesseract,notes,Omni_Dataset,20,eng,127.63580322265625,6.205536,2432704512,run_25_repetition_15,9.614681214545712
run_14_repetition_29,DONE,tesseract,Old_books_2noise,Noisy_Dataset,1,eng,18.624435424804688,1.0038567,2305810432,run_14_repetition_29,13.319925393377032
run_19_repetition_11,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,20,eng,4.77508544921875,0.40294904,2230624256,run_19_repetition_11,13.304201304912567
run_17_repetition_29,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,20,ara,30.656448364257812,1.6040037,2335375360,run_17_repetition_29,9.295227640867234
run_16_repetition_21,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,1,ara,4.6752777099609375,0.403146,2288553984,run_16_repetition_21,13.52420911192894
run_26_repetition_9,DONE,tesseract,slides,Omni_Dataset,1,eng,13.031753540039062,0.8030748,2316115968,run_26_repetition_9,12.670824567476908
run_10_repetition_3,DONE,paddle,notes,Omni_Dataset,1,eng,292.3478240966797,16.417267,4874317824,run_10_repetition_3,36.37630472420936
run_4_repetition_28,DONE,paddle,Old_books_No_noise,Noisy_Dataset,1,eng,19.988296508789062,3.8081033,2296094720,run_4_repetition_28,2.0437405435811904
run_15_repetition_16,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,419.0888977050781,18.009806,2410647552,run_15_repetition_16,14.168667241768992
run_26_repetition_11,DONE,tesseract,slides,Omni_Dataset,1,eng,13.21197509765625,0.8032864,2323795968,run_26_repetition_11,12.584305495023727
run_18_repetition_28,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,1,eng,4.707183837890625,0.4029727,2246709248,run_18_repetition_28,12.957152009010317
run_19_repetition_10,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,20,eng,4.6883697509765625,0.402519,2239258624,run_19_repetition_10,13.3226238489151
run_12_repetition_1,DONE,paddle,slides,Omni_Dataset,1,eng,278.0087127685547,15.613615,4921716736,run_12_repetition_1,35.04292651452124
run_0_repetition_26,DONE,paddle,Old_books_2noise,Noisy_Dataset,1,eng,301.138916015625,15.015816,4528107520,run_0_repetition_26,38.41038896143437
run_20_repetition_22,DONE,tesseract,Book,Omni_Dataset,1,eng,22.721603393554688,1.2040793,2357952512,run_20_repetition_22,13.478607643395662
run_2_repetition_0,DONE,paddle,Old_books_Arabic,Noisy_Dataset,1,ara,545.2969360351562,25.41751,8465338368,run_2_repetition_0,45.58411423076493
run_12_repetition_9,DONE,paddle,slides,Omni_Dataset,1,eng,273.35557556152344,14.214,4963422208,run_12_repetition_9,38.34583226479079
run_24_repetition_4,DONE,tesseract,notes,Omni_Dataset,1,eng,13.089462280273438,0.80303884,2325295104,run_24_repetition_4,12.684648464123407
run_26_repetition_0,DONE,tesseract,slides,Omni_Dataset,1,eng,13.228485107421875,0.8033959,2319613952,run_26_repetition_0,12.62342780828476
run_10_repetition_24,DONE,paddle,notes,Omni_Dataset,1,eng,290.3062438964844,15.214075,4828237824,run_10_repetition_24,38.54673564434052
run_25_repetition_14,DONE,tesseract,notes,Omni_Dataset,20,eng,128.10438537597656,6.2055154,2492329984,run_25_repetition_14,9.994257645173509
run_15_repetition_21,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,418.58270263671875,18.009172,2439602176,run_15_repetition_21,14.045217897904957
run_6_repetition_27,DONE,paddle,Book,Omni_Dataset,1,eng,369.415283203125,18.616158,5275037696,run_6_repetition_27,40.20846500035964
run_7_repetition_29,DONE,paddle,Book,Omni_Dataset,20,eng,3788.059799194336,156.88173,6167072768,run_7_repetition_29,56.19430769401728
run_15_repetition_1,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,286.26869201660156,17.60836,2505486336,run_15_repetition_1,13.913576340178649
run_8_repetition_5,DONE,paddle,Newspaper,Omni_Dataset,1,eng,1097.8048706054688,50.030903,6755467264,run_8_repetition_5,36.35345311462879
run_25_repetition_11,DONE,tesseract,notes,Omni_Dataset,20,eng,126.40196228027344,6.2048726,2452811776,run_25_repetition_11,10.900519469470687
run_0_repetition_7,DONE,paddle,Old_books_2noise,Noisy_Dataset,1,eng,305.1295471191406,15.61307,4489371648,run_0_repetition_7,37.6477144440636
